,age,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
149,matured,0.134772039,0.08099505,0.124078431,0.059843137,0.200117647,0.14027451,1.758538375,8.022480938,0.960914012,0.714832772,0.093607843,0.134772039,0.118076054,0.046920821,0.277456647,0.322527985,0,6,6,0.053931452,male
152,matured,0.147254572,0.069031662,0.124444444,0.103006536,0.214640523,0.111633987,2.577146879,11.9187978,0.946414375,0.613174732,0.113202614,0.147254572,0.119524141,0.046920821,0.277456647,0.665783898,0,7.3359375,7.3359375,0.113749532,male
154,matured,0.143121352,0.065610814,0.12461825,0.097504655,0.197094972,0.099590317,2.813039805,16.69846378,0.95503863,0.690063133,0.105065177,0.143121352,0.116063177,0.046920821,0.274285714,1.476165254,0.046875,8.5546875,8.5078125,0.12355112,male
155,matured,0.140513655,0.078849682,0.124632087,0.088323281,0.218021713,0.129698432,1.796502702,6.870029873,0.955046517,0.68270176,0.110277443,0.140513655,0.123802312,0.046920821,0.279069767,0.626470588,0,4.59375,4.59375,0.137026239,male
157,young,0.150582123,0.062084729,0.124943396,0.107245283,0.214490566,0.107245283,3.232422751,15.90235002,0.923949706,0.552902477,0.108830189,0.150582123,0.11021828,0.047666336,0.279069767,0.387392241,0,4.6171875,4.6171875,0.111498052,male
158,matured,0.146057455,0.061265744,0.125134707,0.102503962,0.202345483,0.099841521,2.660413192,11.74355307,0.927560538,0.582622363,0.101172742,0.146057455,0.122970162,0.04729064,0.275862069,1.332589286,0,9.7734375,9.7734375,0.135055592,male
159,matured,0.1458987,0.069698037,0.125238771,0.100349882,0.212349882,0.112,2.377284948,11.1939197,0.956648859,0.666502568,0.119148936,0.1458987,0.117181713,0.047151277,0.275862069,0.976278409,0.046875,5.8125,5.765625,0.126534354,male
160,young,0.151873823,0.065808589,0.125255474,0.107445255,0.221605839,0.114160584,2.967033124,14.6198379,0.920477409,0.534774793,0.115328467,0.151873823,0.101600373,0.04729064,0.279069767,0.245945411,0,3.84375,3.84375,0.062851782,male
162,matured,0.14757481,0.063546813,0.125460483,0.097844546,0.199895493,0.102050947,2.817256047,13.71590103,0.931045785,0.570940883,0.095467015,0.14757481,0.104114574,0.04719764,0.279069767,0.312297078,0,4.1484375,4.1484375,0.063260921,male
164,matured,0.135972024,0.082399187,0.125612009,0.079053118,0.218729792,0.139676674,1.863377089,7.297085039,0.956239129,0.693973329,0.131431871,0.135972024,0.124006016,0.047244094,0.279069767,0.680555556,0,5.1328125,5.1328125,0.098594671,male
165,young,0.145451632,0.062529042,0.125650301,0.098156761,0.202101637,0.103944875,2.578898652,13.75725253,0.945095248,0.609303223,0.122515073,0.145451632,0.132760544,0.046920821,0.275862069,1.037388393,0,6.6328125,6.6328125,0.179770318,male
166,young,0.14010944,0.055208565,0.125958702,0.097050147,0.185840708,0.08879056,2.281529537,9.247809058,0.930769214,0.557347205,0.098908555,0.14010944,0.124269791,0.047337278,0.277456647,0.804570896,0,9.6328125,9.6328125,0.082300236,male
171,old,0.136714404,0.074139384,0.126674907,0.100716934,0.202472188,0.101755253,2.041460008,8.418976697,0.948466581,0.648803221,0.118195303,0.136714404,0.129527525,0.048241206,0.277456647,0.420703125,0,4.453125,4.453125,0.109549647,male
172,young,0.132363088,0.064722832,0.126750496,0.080608868,0.177710126,0.097101257,2.166277663,11.23849475,0.962978228,0.721677537,0.12563865,0.132363088,0.123616779,0.047012733,0.272727273,1.05703125,0,12.28125,12.28125,0.058653387,male
174,young,0.138134948,0.071996349,0.126798603,0.080838184,0.179604191,0.098766007,1.939460908,8.402472962,0.950216106,0.652164596,0.127124563,0.138134948,0.116500971,0.04743083,0.271186441,0.585277289,0,6.7734375,6.7734375,0.101730104,male
175,young,0.149582409,0.058721263,0.126829268,0.106829268,0.207317073,0.100487805,2.791634186,12.76547417,0.905976962,0.465214406,0.108780488,0.149582409,0.126190272,0.04729064,0.277456647,1.55625,0,10.4296875,10.4296875,0.112359551,male
176,young,0.153233144,0.056156516,0.126834862,0.108211009,0.20293578,0.094724771,2.533794482,10.28876116,0.904806401,0.433751099,0.123944954,0.153233144,0.109657585,0.047012733,0.277456647,0.406770833,0,3.796875,3.796875,0.08127572,male
180,young,0.151910222,0.066387142,0.127457627,0.110508475,0.221016949,0.110508475,2.826060665,12.50918157,0.924690387,0.538064671,0.116440678,0.151910222,0.118036951,0.048,0.277456647,0.773015203,0,8.5078125,8.5078125,0.052577725,male
182,matured,0.155380235,0.064815572,0.127659574,0.108085106,0.219148936,0.11106383,2.593293472,11.63702541,0.92718023,0.516801774,0.110212766,0.155380235,0.115231123,0.047619048,0.274285714,0.484993812,0,7.6171875,7.6171875,0.067724696,male
183,young,0.153693011,0.064274795,0.127758347,0.115294118,0.222427133,0.107133015,3.167077132,15.19328326,0.907699404,0.474097238,0.119894012,0.153693011,0.124059644,0.047012733,0.279069767,0.55971928,0,11.34375,11.34375,0.052828114,male
184,matured,0.147006653,0.068556715,0.127989019,0.098201784,0.209855868,0.111654084,2.365402189,9.157548709,0.921464211,0.52928589,0.107234043,0.147006653,0.116725141,0.046920821,0.279069767,0.515324519,0,4.171875,4.171875,0.134356702,male
186,young,0.141661136,0.077094326,0.128066528,0.094303534,0.213250173,0.118946639,1.742754734,6.373851086,0.956715369,0.702784099,0.005239085,0.141661136,0.115196056,0.047012733,0.279069767,0.339021382,0,5.578125,5.578125,0.061420932,male
187,matured,0.137701778,0.082587938,0.128135593,0.088587571,0.219491525,0.130903955,2.071084266,8.733878577,0.95171487,0.665282777,0.120028249,0.137701778,0.125106246,0.047337278,0.279069767,0.54471009,0,5.203125,5.203125,0.091847946,male
188,matured,0.138727368,0.079165395,0.128470588,0.065058824,0.206705882,0.141647059,1.091629399,4.422618183,0.968907529,0.738586784,0.04172549,0.138727368,0.103538063,0.047012733,0.279069767,0.654296875,0,5.671875,5.671875,0.072712774,male
190,matured,0.155107213,0.063927455,0.128690808,0.104902507,0.210584958,0.105682451,2.458051577,10.69113716,0.916665443,0.493942334,0.09281337,0.155107213,0.104306686,0.047012733,0.271186441,0.487323113,0,6.796875,6.796875,0.085103448,male
191,matured,0.157131317,0.061867405,0.128695652,0.113913043,0.224782609,0.110869565,2.749625019,11.12420933,0.889470728,0.443733724,0.111304348,0.157131317,0.120951466,0.047244094,0.277456647,0.526692708,0,5.2265625,5.2265625,0.094604369,male
193,matured,0.155498844,0.063632137,0.128791209,0.101538462,0.214505495,0.112967033,2.229993258,9.11268833,0.921333972,0.513813197,0.096263736,0.155498844,0.112630106,0.047244094,0.275862069,0.510719477,0,4.734375,4.734375,0.113118812,male
195,matured,0.146595564,0.072240891,0.128956394,0.098500735,0.213738364,0.115237629,1.984429908,8.278183546,0.953905629,0.666517676,0.102616365,0.146595564,0.113885958,0.047571853,0.274285714,0.543028846,0,4.8515625,4.8515625,0.110552162,male
198,matured,0.151741963,0.064530929,0.129747692,0.107175385,0.216073846,0.108898462,2.411724217,10.56224349,0.928820778,0.535891657,0.115101538,0.151741963,0.126716937,0.047105005,0.277456647,1.161112883,0.046875,9.890625,9.84375,0.088533114,male
199,young,0.152276044,0.061235829,0.129893993,0.105583039,0.206784452,0.101201413,2.074924768,8.236508381,0.93624395,0.550793506,0.11024735,0.152276044,0.113386739,0.047012733,0.275862069,0.766882945,0,12,12,0.04535784,male
201,matured,0.140071789,0.061348091,0.129991387,0.094298019,0.188113695,0.093815676,1.910029801,8.826151823,0.954420188,0.669500318,0.093815676,0.140071789,0.108465798,0.046920821,0.277456647,1.056934932,0,7.2890625,7.2890625,0.094618876,male
202,young,0.156433592,0.065611833,0.130051165,0.10824332,0.220466174,0.112222854,3.113266795,15.46497863,0.929866716,0.551811283,0.1058556,0.156433592,0.118162569,0.046920821,0.279069767,0.562930046,0,6.9375,6.9375,0.080667402,male
204,matured,0.147158302,0.061620815,0.130149701,0.103323353,0.19511976,0.091796407,1.893669102,7.114945698,0.943022482,0.627190421,0.098922156,0.147158302,0.115634115,0.046920821,0.275862069,0.659007353,0,5.7890625,5.7890625,0.097608806,male
205,matured,0.151564773,0.060296721,0.130191083,0.117350318,0.179414013,0.062063694,3.198835179,16.47651741,0.880075948,0.40449105,0.120203822,0.151564773,0.107941754,0.047105005,0.272727273,0.514423077,0,4.2421875,4.2421875,0.072130141,male
206,old,0.138872893,0.080874216,0.13020316,0.091226486,0.215319789,0.124093303,1.82724026,6.875661997,0.954574648,0.6938571,0.108081264,0.138872893,0.120486069,0.047384008,0.279069767,0.204319853,0,2.6484375,2.6484375,0.059601237,male
208,old,0.137674269,0.079094941,0.130328426,0.093069083,0.210396376,0.117327293,1.597931022,5.95689067,0.957596345,0.693107072,0.114949037,0.137674269,0.121298076,0.047151277,0.274285714,0.29784292,0,5.5078125,5.5078125,0.050212766,male
209,old,0.134926654,0.078093224,0.130360656,0.084065574,0.199606557,0.115540984,1.52262675,5.648288337,0.966494583,0.748959599,0.09704918,0.134926654,0.115556561,0.047105005,0.271186441,0.242534722,0,4.3828125,4.3828125,0.050495979,male
210,matured,0.148203693,0.066140878,0.130399181,0.103029683,0.208208802,0.10517912,2.363299474,10.07983198,0.943181296,0.625919013,0.104176049,0.148203693,0.129906071,0.047244094,0.277456647,1.350217301,0,9.9375,9.9375,0.133270653,male
211,matured,0.160722791,0.057089394,0.130486976,0.112253681,0.214201586,0.101947905,2.650399916,11.1570106,0.882274816,0.338033586,0.125413364,0.160722791,0.108957664,0.04719764,0.279069767,0.336495536,0,4.6171875,4.6171875,0.039493501,male
212,matured,0.147788134,0.075915149,0.130555855,0.098974636,0.219708581,0.120733945,2.667482351,14.95994257,0.959944821,0.71322999,0.112271991,0.147788134,0.113099683,0.047105005,0.274285714,0.492434211,0,6.515625,6.515625,0.053874142,male
214,matured,0.158821748,0.060965321,0.130767841,0.114074074,0.22435411,0.110280036,2.88568381,13.81327246,0.905838147,0.442343044,0.122168022,0.158821748,0.108983637,0.047244094,0.277456647,0.614889706,0,4.546875,4.546875,0.067327518,male
215,young,0.156112366,0.05958565,0.130778443,0.106075848,0.208686627,0.102610778,2.358571533,10.08172132,0.926066397,0.399385458,0.102387226,0.156112366,0.120597342,0.047244094,0.279069767,0.610708841,0,6.328125,6.328125,0.087242798,male
217,matured,0.145603086,0.077842597,0.130919458,0.108168211,0.221525303,0.113357092,2.587073677,12.80711632,0.942122806,0.63016741,0.112159658,0.145603086,0.112309258,0.047012733,0.274285714,0.443992077,0,5.34375,5.34375,0.094075769,male
218,young,0.152411755,0.073919197,0.130936518,0.096970459,0.223859208,0.126888749,1.457929362,5.433166135,0.962275907,0.723590495,0.098554368,0.152411755,0.110891985,0.047619048,0.277456647,0.663707386,0,8.765625,8.765625,0.059780815,male
220,young,0.139939779,0.073303486,0.131100244,0.08591687,0.178337408,0.092420538,1.648886263,6.719237945,0.952782654,0.669227552,0.121173594,0.139939779,0.12855287,0.047571853,0.279069767,0.573828125,0,5.671875,5.671875,0.09120425,male
222,matured,0.141545453,0.066090209,0.131231102,0.094038877,0.181727862,0.087688985,1.315652627,5.036225559,0.960701161,0.717705077,0.094946004,0.141545453,0.133729034,0.04743083,0.275862069,1.251885776,0.0703125,7.2421875,7.171875,0.081971678,male
224,matured,0.149405304,0.053715433,0.131347852,0.115856386,0.178316657,0.062460271,3.062960111,15.14831179,0.907290679,0.444544615,0.11898764,0.149405304,0.122503587,0.048048048,0.275862069,0.616310587,0,4.6171875,4.6171875,0.108886038,male
227,old,0.140899694,0.079138865,0.131839378,0.096658031,0.210362694,0.113704663,1.668843933,6.964521441,0.957173968,0.690417205,0.105725389,0.140899694,0.129434399,0.047244094,0.279069767,0.265186096,0,3.5390625,3.5390625,0.079778223,male
228,old,0.137765134,0.07781032,0.131892451,0.091789038,0.200517063,0.108728025,1.447291985,5.675618837,0.966777382,0.746551255,0.092512927,0.137765134,0.115332517,0.046920821,0.277456647,0.342927632,0,4.8984375,4.8984375,0.082978912,male
229,young,0.157986905,0.065330052,0.131957613,0.108220859,0.218315672,0.110094813,3.245197394,17.7767178,0.928658924,0.540928892,0.106190742,0.157986905,0.105643239,0.047012733,0.271186441,0.307833473,0,3.65625,3.65625,0.079391892,male
230,young,0.148992901,0.055789775,0.131973194,0.115294118,0.185763217,0.070469099,2.998463706,15.48246552,0.927491013,0.554909639,0.11904691,0.148992901,0.121894293,0.047105005,0.277456647,0.221191406,0,1.6875,1.6875,0.117343305,male
235,matured,0.143274742,0.073281593,0.13224572,0.096153072,0.197381672,0.1012286,3.017591256,14.04248739,0.940591465,0.668157301,0.103484391,0.143274742,0.129875852,0.047105005,0.279069767,0.817016602,0,6.84375,6.84375,0.14192013,male
237,young,0.147604011,0.061387298,0.132473118,0.112903226,0.182451613,0.069548387,3.166644694,16.14605087,0.914701513,0.499471226,0.112301075,0.147604011,0.119413707,0.046920821,0.272727273,0.287946429,0,3.609375,3.609375,0.080499653,male
238,young,0.147857074,0.055594432,0.132571429,0.116761905,0.197714286,0.080952381,2.998208223,14.70052185,0.909037741,0.470114388,0.127619048,0.147857074,0.129719572,0.04743083,0.279069767,0.414893617,0,5.7421875,5.7421875,0.077684117,male
241,matured,0.142898965,0.072682184,0.132820513,0.0934714,0.1982643,0.104792899,1.814961579,7.990137565,0.965961586,0.739421372,0.117080868,0.142898965,0.124173664,0.047337278,0.277456647,0.378292872,0,5.4609375,5.4609375,0.082109781,male
242,young,0.154637206,0.068915769,0.132838388,0.113318244,0.213580806,0.100262562,3.196456893,17.73808048,0.940730276,0.609591752,0.118641919,0.154637206,0.131124277,0.046920821,0.279069767,0.611341783,0,9.5390625,9.5390625,0.05987327,male
243,matured,0.142002068,0.081380939,0.132904821,0.070605686,0.221334981,0.150729295,1.500003498,6.208425587,0.960251801,0.696893058,0.223757726,0.142002068,0.131944807,0.04729064,0.279069767,0.673549107,0,5.4140625,5.4140625,0.076442545,male
247,matured,0.168380756,0.063294939,0.133285968,0.120852575,0.234742451,0.113889876,2.670098176,11.21958952,0.880180675,0.396858485,0.13079929,0.168380756,0.12233118,0.048241206,0.275862069,0.868699597,0.09375,7.875,7.78125,0.159939759,male
248,young,0.143640404,0.074486911,0.133352518,0.090647482,0.198820144,0.108172662,2.108914628,9.610713354,0.955978592,0.697552309,0.094676259,0.143640404,0.117387458,0.046920821,0.275862069,0.394484187,0,4.5703125,4.5703125,0.105355404,male
249,young,0.150599243,0.051906303,0.133358634,0.110512334,0.188349146,0.077836812,3.038892062,16.31439022,0.909304408,0.422602124,0.109184061,0.150599243,0.12066559,0.046920821,0.279069767,0.460456731,0,6.5625,6.5625,0.084183673,male
252,young,0.155160688,0.062454542,0.133490938,0.115397951,0.214247439,0.098849488,2.681707765,12.2013819,0.922068667,0.508641855,0.11892829,0.155160688,0.118497143,0.047058824,0.279069767,0.6871875,0,9.4453125,9.4453125,0.084259359,male
253,young,0.163391948,0.061890594,0.133519241,0.11103179,0.220658115,0.109626325,2.219471632,9.320813779,0.912644723,0.435742421,0.107908533,0.163391948,0.103896332,0.047058824,0.277456647,0.705829327,0,6.0703125,6.0703125,0.068455598,male
255,young,0.157699373,0.071792364,0.133683106,0.114879328,0.227114376,0.112235047,2.794990775,12.24832326,0.915213292,0.524106755,0.128394544,0.157699373,0.117605025,0.047952048,0.272727273,0.449278846,0,4.921875,4.921875,0.068462139,male
257,young,0.147024928,0.068882703,0.133753281,0.096824147,0.20191601,0.105091864,1.381576097,5.21412236,0.966583625,0.744599287,0.112992126,0.147024928,0.117439688,0.04719764,0.279069767,0.692871094,0,4.7578125,4.7578125,0.110105179,male
258,matured,0.167145604,0.064649643,0.13385105,0.116562699,0.234373011,0.117810312,2.837217501,13.43614618,0.907258955,0.432485621,0.130286442,0.167145604,0.110254091,0.046920821,0.275862069,0.578851744,0,5.2265625,5.2265625,0.085367879,male
262,matured,0.156416166,0.056120344,0.134321926,0.119416984,0.204233207,0.084816223,3.280160783,16.37656676,0.895860667,0.419327148,0.134144487,0.156416166,0.111033039,0.047151277,0.277456647,0.225153689,0,1.59375,1.59375,0.058823529,male
263,young,0.140386287,0.075315442,0.134366366,0.096024024,0.188348348,0.092324324,2.487627364,12.42139372,0.955749999,0.69505262,0.125285285,0.140386287,0.122936513,0.04729064,0.279069767,0.49313447,0,9.421875,9.421875,0.064266579,male
264,matured,0.141038022,0.071661765,0.134392991,0.094267835,0.199924906,0.105657071,2.379662009,11.29287406,0.959411732,0.7235605,0.095844806,0.141038022,0.129381544,0.04719764,0.279069767,1.038015464,0,12,12,0.080078125,male
267,matured,0.157352213,0.059775882,0.134512878,0.116640538,0.208510638,0.091870101,2.735384957,13.53196151,0.928451193,0.519232673,0.129496081,0.157352213,0.123234689,0.047904192,0.279069767,0.612645349,0,11.4609375,11.4609375,0.052807331,male
269,matured,0.159387725,0.062624373,0.134545455,0.113796791,0.218823529,0.105026738,2.041165762,7.980517944,0.934509459,0.557987298,0.128770053,0.159387725,0.120107949,0.046920821,0.279069767,1.280691964,0,5.4375,5.4375,0.1908867,male
272,young,0.144150512,0.066424321,0.134734112,0.096238651,0.196108949,0.099870298,2.680948137,11.70272332,0.930766845,0.616011681,0.098054475,0.144150512,0.115850137,0.047012733,0.274285714,1.949629934,0,10.3125,10.3125,0.124793388,male
273,young,0.151043533,0.058568925,0.134856379,0.10249833,0.201442886,0.098944556,2.569852247,11.27654704,0.925857408,0.516389228,0.101189045,0.151043533,0.11537163,0.047105005,0.274285714,0.740116717,0,8.015625,8.015625,0.094407895,male
274,young,0.154963743,0.064245348,0.134891519,0.121913215,0.214142012,0.092228797,3.135765778,14.49612306,0.90555621,0.463823765,0.12729783,0.154963743,0.110329824,0.047244094,0.275862069,0.429060219,0,8.5078125,8.5078125,0.050910799,male
275,young,0.155307166,0.060332897,0.13489471,0.116918336,0.199178223,0.082259887,3.072356138,15.75739175,0.929475388,0.547419916,0.131155624,0.155307166,0.116958244,0.046920821,0.279069767,0.980148566,0,6.3046875,6.3046875,0.138785626,male
277,young,0.159215986,0.067238805,0.135088968,0.120711744,0.228754448,0.108042705,3.248259374,15.67444124,0.905679777,0.472065536,0.12455516,0.159215986,0.129204159,0.047337278,0.274285714,1.214786305,0,10.2421875,10.2421875,0.138516581,male
278,young,0.147388782,0.069526753,0.13527572,0.091259259,0.191967078,0.100707819,2.064373831,8.718052852,0.944824885,0.630410685,0.090337449,0.147388782,0.11316669,0.047151277,0.274285714,0.37291151,0.0703125,3.609375,3.5390625,0.062251656,male
281,young,0.157885818,0.065432373,0.135573529,0.120338235,0.229970588,0.109632353,2.826763101,12.45740897,0.894487657,0.364753775,0.126617647,0.157885818,0.121233425,0.046966732,0.277456647,0.421403104,0,5.1328125,5.1328125,0.090102257,male
282,matured,0.154661901,0.063990961,0.135580808,0.104116162,0.208055556,0.103939394,1.982954672,7.98686914,0.939581382,0.585552555,0.110126263,0.154661901,0.11031791,0.047012733,0.279069767,0.287905093,0,6.5859375,6.5859375,0.053575781,male
283,matured,0.154140081,0.077701504,0.135581854,0.105621302,0.229467456,0.123846154,1.924370747,8.550805318,0.956409511,0.67818622,0.118599606,0.154140081,0.12103082,0.047524752,0.279069767,0.805664063,0,4.9921875,4.9921875,0.159774648,male
285,young,0.157456672,0.05640975,0.135726744,0.121686047,0.188430233,0.066744186,2.759514714,10.88798786,0.890659465,0.388513109,0.135930233,0.157456672,0.116540899,0.047058824,0.272727273,1.048660714,0,5.5078125,5.5078125,0.118232406,male
286,matured,0.1511864,0.076207901,0.135913978,0.102795699,0.22344086,0.120645161,1.79571907,7.797695801,0.959090046,0.713189061,0.110537634,0.1511864,0.122601989,0.04743083,0.272727273,0.837357955,0,9.28125,9.28125,0.095876801,male
291,young,0.153159211,0.074974127,0.136185897,0.109711538,0.223461538,0.11375,2.091708777,8.105624571,0.945041812,0.652929052,0.110160256,0.153159211,0.124760895,0.048484848,0.279069767,0.819991438,0,5.0859375,5.0859375,0.122383147,male
294,young,0.160238497,0.058091173,0.136562235,0.11996613,0.208399661,0.088433531,2.395787199,9.65273135,0.91267684,0.454791138,0.122811177,0.160238497,0.116187116,0.046920821,0.277456647,1.069661458,0.09375,13.3828125,13.2890625,0.062713974,male
295,matured,0.166347526,0.063480789,0.136571429,0.123238095,0.238857143,0.115619048,3.006442905,14.49718222,0.892281005,0.390154866,0.134666667,0.166347526,0.125748574,0.046966732,0.279069767,0.475625,0,4.1484375,4.1484375,0.110440368,male
296,young,0.160694185,0.063224218,0.136610418,0.111958914,0.218165811,0.106206897,1.970520372,7.3280667,0.934155552,0.561659289,0.1259281,0.160694185,0.123115266,0.047524752,0.275862069,1.0215625,0,7.8515625,7.8515625,0.103670835,male
302,young,0.153935722,0.071642956,0.136871508,0.099851024,0.223165736,0.123314711,2.693927122,11.10911272,0.930578543,0.601083975,0.220558659,0.153935722,0.122587872,0.048241206,0.275862069,1.690972222,0,5.296875,5.296875,0.145648968,male
303,old,0.138212033,0.076738298,0.136917098,0.103005181,0.200751295,0.097746114,1.687252339,6.924950141,0.953768873,0.664283262,0.019948187,0.138212033,0.131712476,0.046920821,0.279069767,0.183837891,0,4.546875,4.546875,0.05252306,male
305,matured,0.157870203,0.057503935,0.136984615,0.121993846,0.194190769,0.072196923,2.951141081,14.25724717,0.90985674,0.448732007,0.127507692,0.157870203,0.115412954,0.047244094,0.271186441,0.559117268,0,4.0546875,4.0546875,0.089952588,male
306,matured,0.138205935,0.074060892,0.136987952,0.080361446,0.184939759,0.104578313,1.692816551,6.659239649,0.968653674,0.761593023,0.148915663,0.138205935,0.120142591,0.047477745,0.275862069,0.342956543,0,5.953125,5.953125,0.055020498,male
308,matured,0.168775464,0.066501954,0.137056075,0.121028037,0.241074766,0.120046729,2.891813711,14.44209683,0.913350729,0.460430072,0.126752336,0.168775464,0.124393948,0.048192771,0.279069767,1.267468399,0,14.6953125,14.6953125,0.063461122,male
